"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Bermuda","BMU","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Brazil","BRA","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0.915881598751324","1.74564492312141","0.0712419852766564","0.478530081492738","0.282860426058517","0.826099321515147","1.00394487054631","0.615248083216357","0.727665348402363","0.175413531447439","0.0211505108809765","0.914002489105627","0.833224617032526","1.0289562377022","1.01476932257543","1.18817146476416","1.73282508383251","4.34662169566647","4.00264991856418","3.66636566494391","2.99675057361796","2.44520920123166","3.27993952358127","2.77436442343765","3.01662610378196","2.77975032234119","2.81592647529302","2.94476612437636","2.90215408668462","2.70532449885834","2.60356792759176","","","","","","","","",
"Barbados","BRB","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Bhutan","BTN","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Central African Republic","CAF","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","0","0","0","0.0747125975079734","0.109818181818182","0.0869547495635279","0.10664550290795","0.090477401347108","0.508578804784408","0.270693466513837","0.49495971591126","1.92351904360487","2.92978828003429","5.64793524905491","5.18349999118212","4.53659592897358","5.83998390450003","8.18008483787023","9.0992601492533","9.82178162679959","10.1886529610639","10.2614864518773","9.89727609984794","11.9191820121129","11.9470950321503","13.1880464058155","15.2124539466101","15.5690300011285","16.3821223395633","15.9913508318818","15.1370941475933","16.7033459793376","15.488228431284","17.6534483957475","19.4060175678861","17.4719868572602","16.1917096184693","14.3877266387727","12.7323292661431","12.6939519298033","12.0210503371885","13.0040014920818","12.5634192674804","12.7034206214316","15.0678902753119","14.8326253295602","16.0310789935328","14.8712001539903","15.1962599665119","14.777616481723","15.0131819506637","14.7078051678238","14.9001572289999","15.5490082601147","16.1190749922158","15.5465605152518","","","","","","","",
"Central Europe and the Baltics","CEB","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","0","0.00118698729157524","0.0859359440271157","0.492114547336556","0.889202774497206","1.64010959988219","1.72379099899607","1.60851917689936","2.25008896500382","2.77037354535124","3.70506877360025","4.22862088800778","5.17216746897035","5.85734663223092","7.3087047285962","8.41984383187537","10.0582500700152","11.5585847563358","11.5182271504131","17.3329712239067","17.4620525954151","17.2917868820927","17.4901759342494","17.2959839563943","17.5595522933799","18.0750934702257","18.6446979582438","18.8887222019817","18.5466662769285","19.1532939139309","19.9996346931879","21.7864385096605","21.4375118028625","21.2833751674448","20.7779875956802","20.4109892194366","19.7194584554492","21.325406790087","22.1216144099006","19.3525988907537","19.6500319964751","20.276552141915","20.0311707124642","20.549931382455","13.653416742317","","","","","","","",
